% Model:              C1Eq.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 10 2021, 09:42
% Dimension:          2
% Nodes:              10201
% Expressions:        9
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Dependent variable u5, Gradient of u5, x component, , , Gradient of u3, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u5 (1)                   u5x (1/m)                -u*u3+u3x                -u*u5+u5x                u3y (1/m)
-0.35                     -0.5                     1.1321206727697987E-16   -1.7783330515268938E-22  0.5687999063664579       -0.3631585233284061      0.5715920378295949       -0.3604372337279521      -0.36315852332840615     -0.36043723372795217     0.0056879993909239954
-0.33999999999999997      -0.5                     -1.7431992375022752E-16  3.3131011803753383E-22   0.5651518579448123       -0.3664556710840701      0.567971296229046        -0.36371566523916743     -0.36645567108407        -0.3637156652391673      0.005651518917326527
-0.32999999999999996      -0.5                     1.3240999576644623E-16   -2.6813741156104723E-22  0.5614707022058204       -0.36978004081276994     0.5643176323306814       -0.36702175593435477     -0.36978004081277        -0.3670217559343548      0.0056147073714745786
-0.32                     -0.5                     -3.3811579039028344E-16  8.266759689322377E-22    0.5577561652862749       -0.3731319649048843      0.560630767615318        -0.3703558961417794      -0.37313196490488415     -0.3703558961417792      0.005577562015262572
-0.31                     -0.5                     -2.1879804503994728E-16  5.707392575695528E-22    0.554007969854064        -0.37651180547780505     0.5569104195118261       -0.37371850622083985     -0.37651180547780494     -0.37371850622083974     0.005540080075412271
-0.3                      -0.5                     3.6283206866808655E-16   -1.120084267481132E-21   0.5502258348559214       -0.3799199441880803      0.55315630108766         -0.37711003838853385     -0.3799199441880805      -0.3771100383885341      0.005502258743809197
-0.29000000000000004      -0.5                     2.875484784407918E-16    -9.458837352143831E-22   0.5464094752660759       -0.3833567946538279      0.5493681207220021       -0.38053097834034        -0.38335679465382805     -0.38053097834034016     0.005464095169889805
-0.28                     -0.5                     -3.200552132050555E-17   1.2663512299717198E-22   0.5425586018175278       -0.38682279079921766     0.5455455817633218       -0.38398184675988734     -0.38682279079921766     -0.38398184675988734     0.005425586460862631
-0.27                     -0.5                     7.491334864814099E-16    -3.0396056111882216E-21  0.538672920743989        -0.3903183993653138      0.541688382172744        -0.387463200646658       -0.3903183993653142      -0.3874632006466584      0.005386729680515272
-0.26                     -0.5                     3.721655564600394E-18    -1.8792715802986788E-23  0.5347521335074086       -0.39384410701524425     0.537796214154566        -0.3909756345751361      -0.39384410701524425     -0.3909756345751361      0.005347521842972478
-0.25                     -0.5                     3.217237053815714E-16    -1.6636938366853388E-21  0.5307959365465443       -0.3974004325039893      0.5338687637745446       -0.39451978182752306     -0.3974004325039895      -0.39451978182752323     0.0053079599098471274
-0.24                     -0.5                     2.3786894107696967E-16   -1.5153826659072736E-21  0.5268040210169768       -0.40098791239756        0.529905710569165        -0.39809631506996856     -0.4009879123975601      -0.3980963150699687      0.005268040796991422
-0.22999999999999998      -0.5                     3.4437683306120385E-16   -2.2699582356097746E-21  0.5227760725695648       -0.40460711175575886     0.5259067271489416       -0.40170594690591416     -0.40460711175575903     -0.4017059469059143      0.005227761362941422
-0.21999999999999997      -0.5                     1.2568904301867898E-16   -1.0040268517289578E-21  0.5187117711314742       -0.408258608405733       0.521871478798791        -0.405349429703293       -0.4082586084057331      -0.4053494297032931      0.00518711840826149
-0.21000000000000002      -0.5                     2.1027664139662306E-16   -1.7128086502781363E-21  0.5146107907541201       -0.4119429999510251      0.5177996230856805       -0.40902755452280387     -0.41194299995102523     -0.409027554522804       0.005146108673914145
-0.2                      -0.5                     -2.9381119706240546E-16  2.9818151382887106E-21   0.5104727994882448       -0.41566088657119327     0.5136908094768498       -0.4127411499602473      -0.4156608865711931      -0.41274114996024713     0.0051047288411078485
-0.19                     -0.5                     1.0204995858908047E-16   -1.0375382276038976E-21  0.5062974593583093       -0.4194128728328566      0.5095446789761133       -0.416491079544083       -0.41941287283285666     -0.41649107954408304     0.005062975533802512
-0.18                     -0.5                     5.363099108234195E-16    -6.991785662867527E-21   0.5020844264087067       -0.42319954690473155     0.5053608637931355       -0.4202782378562342      -0.4231995469047318      -0.42027823785623447     0.005020845318363014
-0.16999999999999998      -0.5                     -4.25974988190197E-16    5.611723561621717E-21    0.4978333509085543       -0.42702147389485345     0.5011389870569255       -0.4241035454244454      -0.42702147389485323     -0.42410354542444517     0.004978334702233135
-0.15999999999999998      -0.5                     -9.20270747989602E-16    1.5937395972853877E-20   0.49354387770065355      -0.43087916905183027     0.4968786625914925       -0.4279679411794485      -0.4308791690518298      -0.42796794117944803     0.004935440140133362
-0.14999999999999997      -0.5                     1.6338638867592898E-16   -2.811447954495279E-21   0.4892156468130089       -0.43477307590113884     0.492579494783426        -0.43187237180924365     -0.4347730759011389      -0.4318723718092437      0.004892158044707613
-0.14                     -0.5                     -4.506540602424758E-17   1.0551337048986888E-21   0.4848482943498986       -0.43870352831389736     0.4882410785622456       -0.4358177795826719      -0.43870352831389736     -0.4358177795826719      0.004848484786978646
-0.13                     -0.5                     2.7341238644614E-16      -6.2788376394970456E-21  0.48044145381219544      -0.4426707037731912      0.48386299953458173      -0.439805082944521       -0.4426707037731913      -0.4398050829445211      0.00480441672146185
-0.12                     -0.5                     2.2016255045281862E-17   -7.211239606281123E-22   0.4759947579826317       -0.44667455584321614     0.4794448343419533       -0.44383515210879787     -0.44667455584321614     -0.44383515210879787     0.004759950198492797
-0.10999999999999999      -0.5                     1.3692497322564675E-16   -4.3430566845723806E-21  0.4715078415775803       -0.45071472599235174     0.4749861512908204       -0.44790877768309967     -0.4507147259923518      -0.4479087776830997      0.004715081600409646
-0.09999999999999998      -0.5                     1.2831154381460017E-16   -6.209438107805126E-21   0.4669803449998048       -0.4547904103800834      0.4704865113569597       -0.45202662671107924     -0.45479041038008344     -0.4520266267110793      0.004669807453446285
-0.08999999999999997      -0.5                     -8.886292640954867E-16   4.332761701929207E-20    0.4624119196163034       -0.45890018147147577     0.46594546969920236      -0.4561891845775936      -0.4589001814714754      -0.4561891845775932      0.004624124282000409
-0.08000000000000002      -0.5                     -6.134000626650233E-16   4.8882436881102685E-20   0.45780223537885256      -0.46304169442652        0.46136257783585294      -0.4603966792604783      -0.4630416944265197      -0.460396679260478       0.004578029397649951
