% Model:              C2DNSEps01Pe1.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 22 2021, 17:05
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, , , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2                       u2x                      u2y
0.08000000000000007       -2                       1.0988837676749117       -0.5573159117628205      0.05634693286169701      0.1510242471914936       2.704861657331036
0.10999999999999988       -2                       1.0946813638417576       -0.5295127892512326      0.061211042648782105     0.17324973861418222      2.926512094030925
0.1399999999999999        -2                       1.089252904196202        -0.5015940579377431      0.0657843662409649       0.15276242214834598      3.16408822000834
0.16999999999999993       -2                       1.082663090101698        -0.4737178778140502      0.07003775768247367      0.13012314612611978      3.3830485353499054
0.19999999999999996       -2                       1.074981770198347        -0.4460302050970036      0.07391993873458752      0.10651375808436249      3.5811972967216823
0.22999999999999998       -2                       1.0662809518763303       -0.41867300055100654     0.07728235463974896      0.11764730225973252      3.7461756121459673
0.26                      -2                       1.0566330451324715       -0.3917732013520284      0.0799818094233999       0.09114775286076669      3.8942606761458696
0.29000000000000004       -2                       1.046129839263539        -0.36541695859847706     0.08222483173031152      0.0656643452517194       4.014970677236597
0.31999999999999984       -2                       1.0348576742527185       -0.33969883806076034     0.08399074223808742      0.041830625180965225     4.108620851785135
0.34999999999999987       -2                       1.0229037235676512       -0.3146994773666987      0.08526805486801133      0.020025482369895396     4.1758113702045545
0.3799999999999999        -2                       1.0103462443992914       -0.2905096658882936      0.08589354335475667      0.021673750079797705     4.230100833424619
0.4099999999999999        -2                       0.9972722508614195       -0.2671589203167335      0.0860739972121143       7.346708652505732E-4     4.244533450917929
0.43999999999999995       -2                       0.9837657109377955       -0.24468815603191094     0.08585089254694886      -0.017484346510441347    4.236487200914794
0.47                      -2                       0.9699064481425993       -0.22313090329005522     0.08524334885221999      -0.03304577945097502     4.207954311872302
0.5                       -2                       0.9557687854772637       -0.20252099583793062     0.08423169942582405      -0.03439751564208828     4.186341746500585
0.53                      -2                       0.9414204906672471       -0.1828719183538818      0.08286908702090924      -0.04777440749615459     4.118788689697359
0.56                      -2                       0.9269297519522766       -0.16417600888176123     0.08125253449231952      -0.05858241870878753     4.037600244236415
0.5899999999999999        -2                       0.9123592889789603       -0.14643299760038703     0.0794104082167557       -0.06709781063999601     3.9448246289950366
0.6199999999999999        -2                       0.8977665940672973       -0.12963617056561158     0.07737297798840018      -0.06873087125037251     3.8701092168415925
0.6499999999999999        -2                       0.8832030916732512       -0.11378900813736385     0.0751452327494867       -0.07496488687123665     3.7556592068750136
0.6799999999999999        -2                       0.8687142061279838       -0.09885590268085111     0.07280920104627593      -0.07935856986668527     3.6359965862593766
0.71                      -2                       0.8543433613299881       -0.08481658880479895     0.0703896337757788       -0.08220395412334862     3.5125581797541265
0.74                      -2                       0.8401290323396826       -0.07164722036902024     0.06791139147701175      -0.08376119078553265     3.3866160980023863
0.77                      -2                       0.8261061846711796       -0.059327623675606414    0.06539681214724725      -0.08387743119876523     3.279415510907377
0.7999999999999998        -2                       0.8123025013678462       -0.04782679965973479     0.06287580688498551      -0.0839281818632189      3.14964606208213
0.8299999999999998        -2                       0.7987430948065869       -0.03711058397057735     0.06036850300604015      -0.08313781541520995     3.021254931496056
0.8599999999999999        -2                       0.7854504305381784       -0.027148094799779275    0.05789038019571758      -0.08168577486348662     2.8948671583576813
0.8899999999999999        -2                       0.7724438683423045       -0.017908552909533956    0.05545668567903363      -0.08056052624877734     2.7852647241620594
0.9199999999999999        -2                       0.7597404307199498       -0.009363988851631432    0.05308562594119287      -0.07826723237773922     2.663390405324883
0.95                      -2                       0.7473501912736983       -0.0014780067765742808   0.05078090873948879      -0.07563648566649268     2.5454823017934762
0.98                      -2                       0.7352836928837182       0.005781250821836788     0.048549835129704656     -0.07276851171559429     2.4317092998041243
1.0099999999999998        -2                       0.723548908917505        0.01244536750455936      0.04639834297800118      -0.06974271374946689     2.3222018826016986
1.04                      -2                       0.7121538349216568       0.018543699816288766     0.04433765194637216      -0.06763668835913238     2.225470546213698
1.0699999999999998        -2                       0.7011005509045772       0.024106531782711004     0.042365592918244266     -0.06440283486896269     2.124965732387209
1.1                       -2                       0.6903906008193221       0.029163891680527472     0.040481496439984346     -0.0611688641545687      2.0291323870034095
1.13                      -2                       0.6800247023771803       0.03374456595272014      0.038686170378980304     -0.05796854972551123     1.9378871492960876
1.1600000000000001        -2                       0.6700030452607223       0.03787651400107081      0.03698184693942933      -0.055653012911220864    1.8556852227280387
1.19                      -2                       0.6603248009223158       0.04158561246909051      0.03536938196902284      -0.052516771732694575    1.7739696522805308
