% Model:              C2noStructPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 22 2021, 16:40
% Dimension:          2
% Nodes:              3001
% Expressions:        5
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c2, x component, Gradient of c2, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)
0                         -1.932                   0                        0                        4.491116651614388E-10    7.027262567641367E-9     1.626732485292579E-8
0                         -1.931                   0                        0                        4.655900484223323E-10    7.226021098972536E-9     1.668944166886475E-8
0                         -1.93                    0                        0                        4.824905484991685E-10    7.424779630303751E-9     1.7111558484803803E-8
0                         -1.929                   0                        0                        4.998131653919398E-10    7.623538161634922E-9     1.7533675300742776E-8
0                         -1.928                   0                        0                        5.175578991006541E-10    7.822296692966137E-9     1.7955792116681828E-8
0                         -1.927                   0                        0                        5.357247496253034E-10    8.021055224297304E-9     1.837790893262078E-8
0                         -1.926                   0                        0                        5.543137169658958E-10    8.219813755628509E-9     1.8800025748559846E-8
0                         -1.925                   0                        0                        5.73324801122423E-10     8.418572286959688E-9     1.9222142564498805E-8
0                         -1.924                   0                        0                        5.927580020948935E-10    8.6173308182909E-9       1.9644259380437857E-8
0                         -1.923                   0                        0                        6.126133198832987E-10    8.816089349622067E-9     2.0066376196376833E-8
0                         -1.922                   0                        0                        6.325091260978873E-10    4.523551324634456E-9     1.563655024715364E-8
0                         -1.921                   0                        0                        6.489422115404198E-10    5.264624660497471E-9     1.7229620637915386E-8
0                         -1.92                    0                        0                        6.669683673737184E-10    6.0056979963606425E-9    1.882269102867746E-8
0                         -1.919                   0                        0                        6.865875935977745E-10    6.746771332223671E-9     2.0415761419439177E-8
0                         -1.918                   0                        0                        7.07799890212597E-10     7.487844668086863E-9     2.2008831810201263E-8
0                         -1.917                   0                        0                        7.306052572181767E-10    8.228918003949886E-9     2.3601902200962997E-8
0                         -1.916                   0                        0                        7.550036946145237E-10    8.969991339813082E-9     2.5194972591725093E-8
0                         -1.915                   0                        0                        7.809952024016264E-10    9.711064675676092E-9     2.678804298248681E-8
0                         -1.914                   0                        0                        8.085797805794976E-10    1.0452138011539286E-8    2.8381113373248884E-8
0                         -1.913                   0                        0                        8.377574291481242E-10    1.119321134740233E-8     2.997418376401064E-8
0                         -1.912                   0                        0                        8.685281481075191E-10    1.1934284683265504E-8    3.156725415477271E-8
0                         -1.911                   0                        0                        9.008919374576692E-10    1.2675358019128513E-8    3.316032454553443E-8
0                         -1.91                    0                        0                        9.348487971985884E-10    1.3416431354991696E-8    3.475339493629652E-8
0                         -1.909                   0                        0                        9.70398727330262E-10     1.4157504690854729E-8    3.634646532705826E-8
0                         -1.908                   0                        0                        1.0075417278527054E-9    1.489857802671791E-8     3.7939535717820336E-8
0                         -1.907                   0                        0                        1.0462777987659023E-9    1.5639651362580938E-8    3.953260610858207E-8
0                         -1.906                   0                        0                        1.0866069400698701E-9    1.6380724698444132E-8    4.112567649934414E-8
0                         -1.905                   0                        0                        1.1285291517645905E-9    1.712179803430715E-8     4.271874689010587E-8
0                         -1.904                   0                        0                        1.172044433850082E-9     1.7862871370170336E-8    4.431181728086796E-8
0                         -1.903                   0                        0                        1.217152786326326E-9     1.860394470603336E-8     4.5904887671629696E-8
0                         -1.902                   0                        0                        1.263854209193342E-9     1.9345018041896534E-8    4.7497958062391785E-8
0                         -1.901                   0                        0                        1.312148702451109E-9     2.008609137775957E-8     4.9091028453153496E-8
0                         -1.9                     0                        0                        1.3620362660996493E-9    2.082716471362276E-8     5.068409884391559E-8
0                         -1.899                   0                        0                        1.41351690013894E-9      2.1568238049485774E-8    5.227716923467731E-8
0                         -1.898                   0                        0                        1.4665906045690043E-9    2.2309311385348972E-8    5.387023962543939E-8
0                         -1.897                   0                        0                        1.521257379389819E-9     2.3050384721211985E-8    5.5463310016201144E-8
0                         -1.896                   0                        0                        1.5775172246014072E-9    2.379145805707519E-8     5.705638040696321E-8
0                         -1.895                   0                        0                        1.6353701402037452E-9    2.45325313929382E-8      5.864945079772496E-8
0                         -1.894                   0                        0                        1.6948161261968573E-9    2.527360472880139E-8     6.024252118848704E-8
0                         -1.893                   0                        0                        1.7558551825807185E-9    2.6014678064664416E-8    6.183559157924875E-8
0                         -1.892                   0                        0                        1.8184873093553554E-9    2.6755751400527577E-8    6.342866197001085E-8
0                         -1.891                   0                        0                        1.88271250652074E-9      2.7496824736390617E-8    6.502173236077257E-8
0                         -1.89                    0                        0                        1.9485307740769015E-9    2.8237898072253798E-8    6.661480275153467E-8
0                         -1.889                   0                        0                        2.0159421120238095E-9    2.8978971408116817E-8    6.820787314229639E-8
0                         -1.888                   0                        0                        2.084946520361494E-9     2.9720044743980035E-8    6.980094353305846E-8
0                         -1.887                   0                        0                        2.1555439990899258E-9    3.0461118079843015E-8    7.13940139238202E-8
0                         -1.886                   0                        0                        2.2277345482091353E-9    3.120219141570623E-8     7.298708431458228E-8
0                         -1.885                   0                        0                        2.301518167719091E-9     3.1943264751569245E-8    7.4580154705344E-8
0                         -1.884                   0                        0                        2.376894857619824E-9     3.268433808743243E-8     7.61732250961061E-8
0                         -1.883                   0                        0                        2.451876080404418E-9     1.8368431871764395E-8    6.099836832146017E-8
0                         -1.882                   0                        0                        2.515768086992318E-9     2.0939522199925998E-8    6.678564485432486E-8
0                         -1.881                   0                        0                        2.5854473701130666E-9    2.3510612528086962E-8    7.257292138718824E-8
0                         -1.88                    0                        0                        2.660913929766695E-9     2.608170285624848E-8     7.836019792005287E-8
0                         -1.879                   0                        0                        2.742167765953171E-9     2.8652793184409497E-8    8.414747445291633E-8
0                         -1.8780000000000001      0                        0                        2.829208878672509E-9     3.1223883512570435E-8    8.993475098577972E-8
0                         -1.877                   0                        0                        2.922037267924732E-9     3.379497384073199E-8     9.572202751864432E-8
0                         -1.876                   0                        0                        3.0206529337098194E-9    3.636606416889352E-8     1.0150930405150902E-7
0                         -1.875                   0                        0                        3.1250558760277486E-9    3.8937154497054547E-8    1.0729658058437242E-7
0                         -1.874                   0                        0                        3.2352460948785406E-9    4.1508244825215564E-8    1.1308385711723581E-7
0                         -1.873                   0                        0                        3.3512235902622212E-9    4.407933515337712E-8     1.1887113365010047E-7
0                         -1.8719999999999999      0                        0                        3.4729883621787682E-9    4.665042548153865E-8     1.246584101829652E-7
0                         -1.871                   0                        0                        3.6005404106281506E-9    4.92215158096996E-8      1.3044568671582855E-7
0                         -1.87                    0                        0                        3.733879735610397E-9     5.1792606137860614E-8    1.3623296324869202E-7
0                         -1.869                   0                        0                        3.873006337125537E-9     5.436369646602217E-8     1.4202023978155668E-7
0                         -1.8679999999999999      0                        0                        4.0179202151735424E-9    5.693478679418378E-8     1.4780751631442134E-7
0                         -1.867                   0                        0                        4.168621369754378E-9     5.950587712234473E-8     1.5359479284728476E-7
0                         -1.866                   0                        0                        4.325109800868077E-9     6.207696745050569E-8     1.5938206938014815E-7
0                         -1.865                   0                        0                        4.487385508514677E-9     6.464805777866726E-8     1.6516934591301279E-7
0                         -1.8639999999999999      0                        0                        4.65544849269414E-9      6.721914810682893E-8     1.7095662244587747E-7
0                         -1.863                   0                        0                        4.8292987534064306E-9    6.979023843498986E-8     1.7674389897874092E-7
0                         -1.862                   0                        0                        5.0089362906515835E-9    7.236132876315088E-8     1.8253117551160428E-7
0                         -1.861                   0                        0                        5.19436110442964E-9      7.493241909131233E-8     1.8831845204446892E-7
0                         -1.8599999999999999      0                        0                        5.385573194740564E-9     7.750350941947398E-8     1.9410572857733366E-7
0                         -1.859                   0                        0                        5.582572561584308E-9     8.007459974763494E-8     1.9989300511019707E-7
0                         -1.858                   0                        0                        5.785359204960914E-9     8.264569007579588E-8     2.0568028164306046E-7
0                         -1.857                   0                        0                        5.993933124870428E-9     8.521678040395754E-8     2.1146755817592507E-7
0                         -1.8559999999999999      0                        0                        6.208294321312811E-9     8.778787073211912E-8     2.1725483470878981E-7
0                         -1.855                   0                        0                        6.428442794288009E-9     9.035896106028008E-8     2.2304211124165326E-7
0                         -1.854                   0                        0                        6.65437854379607E-9      9.293005138844101E-8     2.288293877745166E-7
0                         -1.853                   0                        0                        6.886101569837044E-9     9.550114171660256E-8     2.3461666430738123E-7
0                         -1.852                   0                        0                        7.12361187241083E-9      9.807223204476347E-8     2.4040394084024457E-7
0                         -1.851                   0                        0                        7.366909451517535E-9     1.0064332237292502E-7    2.461912173731094E-7
0                         -1.85                    0                        0                        7.615994307157048E-9     1.0321441270108618E-7    2.519784939059727E-7
0                         -1.849                   0                        0                        7.870866439329482E-9     1.0578550302924764E-7    2.577657704388373E-7
0                         -1.848                   0                        0                        8.131525848034721E-9     1.0835659335740864E-7    2.635530469717007E-7
0                         -1.847                   0                        0                        8.397972533272885E-9     1.1092768368557014E-7    2.693403235045655E-7
0                         -1.846                   0                        0                        8.670206495043852E-9     1.1349877401373115E-7    2.751276000374289E-7
0                         -1.845                   0                        0                        8.948227733347745E-9     1.1606986434189282E-7    2.8091487657029357E-7
0                         -1.844                   0                        0                        9.22317360779391E-9      6.862392903545552E-8     2.3096553044278075E-7
0                         -1.843                   0                        0                        9.464296356528798E-9     7.733827605341069E-8     2.5127996702693824E-7
0                         -1.842                   0                        0                        9.725733541847782E-9     8.605262307136423E-8     2.7159440361109086E-7
0                         -1.841                   0                        0                        1.0007485163750987E-8    9.476697008931949E-8     2.9190884019524845E-7
0                         -1.84                    0                        0                        1.0309551222238278E-8    1.0348131710727299E-7    3.1222327677940133E-7
0                         -1.839                   0                        0                        1.0631931717309793E-8    1.1219566412522843E-7    3.325377133635589E-7
0                         -1.838                   0                        0                        1.0974626648965394E-8    1.209100111431819E-7     3.5285214994771176E-7
0                         -1.837                   0                        0                        1.1337636017205223E-8    1.2962435816113732E-7    3.731665865318692E-7
0                         -1.836                   0                        0                        1.1720959822029127E-8    1.3833870517909082E-7    3.9348102311602213E-7
0                         -1.835                   0                        0                        1.2124598063437272E-8    1.470530521970464E-7     4.137954597001797E-7
0                         -1.834                   0                        0                        1.2548550741429483E-8    1.5576739921499987E-7    4.3410989628433245E-7
0                         -1.833                   0                        0                        1.2992817856005943E-8    1.6448174623295514E-7    4.544243328684899E-7
0                         -1.832                   0                        0                        1.3457399407166459E-8    1.7319609325090842E-7    4.747387694526428E-7
0                         -1.831                   0                        0                        1.3942295394911238E-8    1.8191044026886406E-7    4.950532060368002E-7
0                         -1.83                    0                        0                        1.4447505819240053E-8    1.906247872868172E-7     5.153676426209533E-7
0                         -1.829                   0                        0                        1.4973030680153144E-8    1.9933913430477264E-7    5.356820792051106E-7
0                         -1.828                   0                        0                        1.5518869977650274E-8    2.0805348132272613E-7    5.559965157892635E-7
