% Model:              C2DNSEps002PeEps.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 16:15
% Dimension:          2
% Nodes:              4001
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, , , Gradient of c, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u2 (1)                   u2x (1/m)                u2y (1/m)                -u*u2+0.02*u2x
-0.847                    -0.5                     0.9363541589293255       -1.4224574938652115E-5   0.9999981788595359       -4.020624394350829E-5    -6.003939732472385E-9    -0.9363532578217568
-0.846                    -0.5                     0.935578156994939        -1.43058762997897E-5     0.9999981383644639       -4.078390038934595E-5    -6.103463212500958E-9    -0.935577230967403
-0.845                    -0.5                     0.9347980187436895       -1.4387033131627846E-5   0.9999980972917354       -4.136155685827625E-5    -6.202958270820101E-9    -0.9347970673269107
-0.844                    -0.5                     0.9340137441755773       -1.446804543416787E-5    0.99999805564135         -4.1939213314772055E-5   -6.3024817508486746E-9   -0.9340127669021409
-0.843                    -0.5                     0.933225333290602        -1.4548913207408768E-5   0.9999980134133086       -4.251686979080778E-5    -6.402008783590927E-9    -0.9332243296949706
-0.842                    -0.5                     0.9324328234871427       -1.4629635966400574E-5   0.9999979711881296       -3.954340401300128E-5    -5.801112872091552E-9    -0.9324317226244424
-0.841                    -0.5                     0.9316366179134965       -1.4710211456863079E-5   0.9999979310119681       -4.080891913430982E-5    -6.094388797197303E-9    -0.9316355065468667
-0.84                     -0.5                     0.9308366991313891       -1.4790642053878013E-5   0.9999978895702915       -4.207443427515828E-5    -6.387657616844849E-9    -0.930835576154651
-0.839                    -0.5                     0.9300330671408202       -1.4870927757446285E-5   0.9999978468630997       -4.33399493929141E-5     -6.6809370946488555E-9   -0.9300319314512927
-0.838                    -0.5                     0.92922572194179         -1.495106856756585E-5    0.9999978028903928       -4.4605464515998993E-5   -6.974227230609322E-9    -0.9292245724403193
-0.837                    -0.5                     0.9284146635342987       -1.5031064484238321E-5   0.9999977576521707       -4.587097964086024E-5    -7.267496050272292E-9    -0.928413499125286
-0.836                    -0.5                     0.927599891918346        -1.5110915507463048E-5   0.9999977111484336       -4.7136494751510625E-5   -7.560763093578423E-9    -0.9275987115097755
-0.835                    -0.5                     0.9267814070939319       -1.5190621637239814E-5   0.999997663379181        -4.84020098959118E-5     -7.854042571390141E-9    -0.9267802095973993
-0.834                    -0.5                     0.9259592090610566       -1.5270182873570597E-5   0.9999976143444136       -4.96675250101149E-5     -8.147307838331719E-9    -0.9259579933917969
-0.833                    -0.5                     0.9251332978197195       -1.5349599216451874E-5   0.9999975640441309       -5.0933040140305225E-5   -8.440601527005865E-9    -0.9251320628966359
-0.832                    -0.5                     0.9243036733699216       -1.542887066588516E-5    0.9999975124783332       -5.219855525894923E-5    -8.733895215672299E-9    -0.9243024181156126
-0.831                    -0.5                     0.9234703357116625       -1.5507997221872274E-5   0.9999974596470207       -5.346407037848141E-5    -9.027162258986141E-9    -0.9234690590524514
-0.83                     -0.5                     0.9226332848449417       -1.5586978884411835E-5   0.9999974055501925       -5.4729585500678117E-5   -9.320439960429451E-9    -0.9226319857109034
-0.829                    -0.5                     0.9217925207697598       -1.5665815653503215E-5   0.9999973501878496       -5.599510063308888E-5    -9.613699898304369E-9    -0.9217911980947509
-0.828                    -0.5                     0.9209480434861165       -1.574450752914796E-5    0.9999972935599913       -5.726061574773607E-5    -9.906984705173109E-9    -0.9209466962078007
-0.827                    -0.5                     0.920099852994012        -1.5823054511345586E-5   0.9999972356666181       -5.852613087326345E-5    -1.0200258853902742E-8   -0.9200984800538912
