% Model:              C1fullScale.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 12 2021, 16:40
% Dimension:          2
% Nodes:              401
% Expressions:        6
% Description:        Velocity field, x component, Velocity field, y component, Concentration, Gradient of c, x component, Gradient of c, y component, 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  c (mol/m^3)              cx (mol/m^4)             cy (mol/m^4)             -u*c+cx
-1.76                     0                        1.4993199348714121       1.0254406628654018E-10   0.9395911187817968       -0.018293237494989574    7.48528103586402E-9      -1.4270409325126705
-1.75                     0                        1.499320183981466        -2.455652840510328E-10   0.9394082094957603       -0.018288618172930152    3.4637333201850745E-9    -1.4267623076678133
-1.74                     0                        1.499320453432317        6.604101450779697E-11    0.9392253464236916       -0.018283994116187318    -5.289681560985194E-9    -1.4264837663912817
-1.73                     0                        1.4993207434838116       -7.859427734767388E-10   0.9390425296573595       -0.018279358381464297    -7.001220575837733E-9    -1.4262053021102556
-1.72                     0                        1.4993210566215482       3.90696019467732E-11     0.9388597592784084       -0.018274716345877785    3.133217346165825E-9     -1.4259269226466336
-1.71                     0                        1.4993213938039087       -7.341369921974668E-10   0.9386770354050581       -0.018270059941519107    -4.1732744947837835E-9   -1.4256486209967518
-1.7                      0                        1.499321756361603        -3.902519809182331E-10   0.9384943581161147       -0.018265395326098735    -6.7755245609535E-9      -1.425370404672207
-1.69                     0                        1.4993221472132285       -5.376101045326146E-10   0.9383117275379175       -0.018260722375129386    2.0735201933253173E-9    -1.4250922764626337
-1.68                     0                        1.499322566343504        -3.0658681636889634E-10  0.9381291437443416       -0.018256033932816114    5.898167223817876E-9     -1.4248142292932164
-1.67                     0                        1.4993230164702842       -3.8863444074336955E-10  0.937946606882087        -0.018251337702897316    4.475338024471047E-9     -1.4245362736214158
-1.66                     0                        1.4993235003557706       -4.259391987089635E-10   0.9377641170217622       -0.018246629935820588    3.488137124410393E-9     -1.4242584083769276
-1.65                     0                        1.4993240182660632       -7.212992486980037E-10   0.9375816742491453       -0.018241919574732087    -2.171453051912365E-9    -1.4239806428625836
-1.6400000000000001       0                        1.4993245739159295       -1.0106597383529237E-9   0.9373992786787702       -0.018237191068240018    1.2030686544064554E-8    -1.4237029651623867
-1.63                     0                        1.4993251685686673       -1.1043612129114893E-9   0.9372169304263473       -0.01823245583865952     -2.5593998608046745E-9   -1.4234253880355516
-1.62                     0                        1.4993258039685722       -1.6485882568326178E-9   0.9370346295801703       -0.018227710480388414    -7.01637914837088E-9     -1.4231479098220705
-1.6099999999999999       0                        1.4993264818051046       -1.181090977445053E-9    0.9368523762836308       -0.01822294735841981     -4.632047950491417E-9    -1.4228705246625082
-1.6                      0                        1.4993272081815656       -9.499535459499445E-10   0.9366701706393481       -0.018218180946019694    -3.8238506237978996E-10  -1.4225932528776641
