% Model:              C1EqPe1Eps01.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 2 2021, 22:50
% Dimension:          2
% Nodes:              10201
% Expressions:        11
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u4, Gradient of u4, x component, Gradient of u4, y component, Dependent variable u6, Gradient of u6, x component, Gradient of u6, y component, , , Gradient of u4, y component
% Length unit:        m
% x                       y                        u2 (m/s)                 v2 (m/s)                 u4 (1)                   u4x (1/m)                u4y (1/m)                u6 (1)                   u6x (1/m)                u6y (1/m)                -u2*u4+u4x               -u2*u6+u6x               u4y (1/m)
0.040000000000000036      -0.5                     -6.056646373805944E-17   -1.7689157571619475E-20  0.9044300997540712       -0.01793380151232622     0.009044470670128712     0.9044300997540712       -0.01793380151227805     0.009044470670192144     -0.017933801512326163    -0.017933801512277994    0.009044470670128712
0.050000000000000044      -0.5                     -3.9163675618974674E-16  -6.035043480295725E-20   0.9042506918164386       -0.017947185317387693    0.009042655372253959     0.9042506918164386       -0.017947185317387693    0.009042655372257511     -0.01794718531738734     -0.01794718531738734     0.009042655372253959
0.06000000000000005       -0.5                     -1.2630039565344904E-15  -1.6853917346076105E-19  0.9040711666255307       -0.01795733676652789     0.009040849323447888     0.9040711666255307       -0.017957336766471047    0.009040849323447888     -0.01795733676652675     -0.017957336766469906    0.009040849323447888
0.07000000000000006       -0.5                     -8.550693145686085E-16   -6.267487204169824E-20   0.9038915570871995       -0.01796412521661103     0.009039039691928772     0.9038915570871995       -0.01796412521661103     0.009039039691928772     -0.017964125216610255    -0.017964125216610255    0.009039039691928772
0.07999999999999996       -0.5                     -6.210435208715763E-16   -4.590991355152779E-20   0.9037118920595931       -0.017968488247174015    0.009037233717099169     0.9037118920595931       -0.017968488247174015    0.009037233717099169     -0.017968488247173453    -0.017968488247173453    0.009037233717099169
0.08999999999999997       -0.5                     2.8378259716673834E-16   1.2557508350168504E-20   0.9035321964192792       -0.017970293832694304    0.009035428179777986     0.9035321964192792       -0.017970293832707308    0.009035428179770306     -0.01797029383269456     -0.017970293832707564    0.009035428179777986
0.09999999999999998       -0.5                     6.071394245481627E-16    2.855568805978647E-20    0.9033524923117361       -0.017970221827585123    0.009033623945520158     0.9033524923117361       -0.017970221827585123    0.009033623945520158     -0.01797022182758567     -0.01797022182758567     0.009033623945520158
0.10999999999999999       -0.5                     -6.413281664983242E-16   -1.975918045646112E-20   0.9031727989769227       -0.017968170601959158    0.00903182049503914      0.9031727989769226       -0.01796817060198758     0.009031820494968085     -0.01796817060195858     -0.017968170601987       0.00903182049503914
0.12                      -0.5                     -3.2014363139476544E-16  -1.033639106683351E-20   0.9029931336991095       -0.017964643528220154    0.009030018164425084     0.9029931336991095       -0.017964643528220154    0.009030018164425084     -0.017964643528219866    -0.017964643528219866    0.009030018164425084
0.13                      -0.5                     -3.9135436754140745E-16  -8.779471488793586E-21   0.9028135115255774       -0.01795957177239251     0.009028217077387683     0.9028135115255773       -0.017959571772370748    0.009028217077331186     -0.017959571772392158    -0.017959571772370394    0.009028217077387683
