% Model:              C1EqPeEpsMin1.mph
% Version:            COMSOL 5.6.0.280
% Date:               May 4 2021, 11:14
% Dimension:          2
% Nodes:              10201
% Expressions:        9
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Dependent variable u5, Gradient of u5, x component, , , Gradient of u3, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u5 (1)                   u5x (1/m)                -u*u3+u3x                -u*u5+u5x                u3y (1/m)
-0.36                     -0.5                     -5.609631255935097E-16   7.989630116698428E-22    0.8572525331696704       -0.27788873195935115     0                        0                        -0.27788873195935065     0                        0.08572525332070557
-0.35                     -0.5                     1.1321206727697913E-16   -1.7783330530208293E-22  0.8543734061525519       -0.2981942889593659      0                        0                        -0.298194288959366       0                        0.08543734061735783
-0.33999999999999997      -0.5                     -1.7431992375022633E-16  3.3131011805104097E-22   0.8512832900606113       -0.320107377519759       0                        0                        -0.3201073775197588      0                        0.08512832900465
-0.32999999999999996      -0.5                     1.3240999576644468E-16   -2.6813741165244126E-22  0.847965467612319        -0.34375812395673905     0                        0                        -0.34375812395673916     0                        0.08479654676152432
-0.32                     -0.5                     -3.3811579039027984E-16  8.266759688398283E-22    0.8444018668179459       -0.3692874910739401      0                        0                        -0.3692874910739398      0                        0.08444018668583411
-0.31                     -0.5                     -2.1879804503994487E-16  5.707392575771535E-22    0.8405729480673548       -0.39684820020183176     0                        0                        -0.3968482002018316      0                        0.08405729481039999
-0.3                      -0.5                     3.628320686680848E-16    -1.1200842671776852E-21  0.8364575816120908       -0.4266057307502298      0                        0                        -0.42660573075023006     0                        0.08364575816010505
-0.29000000000000004      -0.5                     2.875484784407892E-16    -9.458837351913598E-22   0.8320329146592851       -0.45873939890525367     0                        0                        -0.4587393989052539      0                        0.0832032914651272
-0.28                     -0.5                     -3.200552132050541E-17   1.2663512300274516E-22   0.8272742272576752       -0.4934435212955329      0                        0                        -0.4934435212955329      0                        0.08272742272689208
-0.27                     -0.5                     7.491334864814054E-16    -3.0396056108866672E-21  0.8221547761115493       -0.530928666310235       0                        0                        -0.5309286663102357      0                        0.08221547761493449
-0.26                     -0.5                     3.721655564600364E-18    -1.8792715808724382E-23  0.8166456254236697       -0.5714229977395133      0                        0                        -0.5714229977395133      0                        0.0816645625434735
-0.25                     -0.5                     3.2172370538156946E-16   -1.6636938366099838E-21  0.8107154638306887       -0.6151737118818884      0                        0                        -0.6151737118818886      0                        0.08107154638481519
-0.24                     -0.5                     2.3786894107696923E-16   -1.5153826663236145E-21  0.8043304065254628       -0.6624485629761665      0                        0                        -0.6624485629761667      0                        0.08043304064917493
-0.22999999999999998      -0.5                     3.443768330612037E-16    -2.2699582356206813E-21  0.7974537816749586       -0.713537477964713       0                        0                        -0.7135374779647132      0                        0.07974537816894459
-0.21999999999999997      -0.5                     1.25689043018679E-16     -1.0040268517047735E-21  0.7900459003153604       -0.7687542410800451      0                        0                        -0.7687542410800452      0                        0.07900459003339341
-0.21000000000000002      -0.5                     2.1027664139662323E-16   -1.712808650323625E-21   0.7820638091370201       -0.8284382317699737      0                        0                        -0.8284382317699738      0                        0.07820638091729694
-0.2                      -0.5                     -2.938111970624056E-16   2.9818151385918877E-21   0.7734610256455386       -0.8929562041608176      0                        0                        -0.8929562041608173      0                        0.07734610256130021
-0.19                     -0.5                     1.0204995858908033E-16   -1.0375382275844443E-21  0.7641872555904786       -0.9627040430642677      0                        0                        -0.9627040430642678      0                        0.07641872556053875
-0.18                     -0.5                     5.363099108234187E-16    -6.991785662871734E-21   0.7541880931825179       -1.0381084411122574      0                        0                        -1.0381084411122579      0                        0.07541880931933917
-0.16999999999999998      -0.5                     -4.2597498819019456E-16  5.6117235615739376E-21   0.7434047052624811       -1.1196284102122993      0                        0                        -1.119628410212299       0                        0.07434047052527469
