% Model:              C2EQPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 4 2021, 09:47
% Dimension:          2
% Nodes:              4001
% Expressions:        10
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Gradient of u3, y component, , , , , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u3y (1/m)                -u*u3+0.1*u3x            u5 (1)                   u5x (1/m)                u5y (1/m)                -u*u5+0.1*u5x
-0.952                    -0.5                     0.9931425778195279       2.3972109299278663E-5    0.9999999290426755       -3.0632749596392497E-6   5.198622067977719E-10    -0.9931428136762837      0                        0                        0                        0
-0.951                    -0.5                     0.9928603713531802       2.4438494451771477E-5    0.9999999259386122       -3.1433187568592373E-6   5.431374637267121E-10    -0.9928606121524388      0                        0                        0                        0
-0.95                     -0.5                     0.9925728280324311       2.490365649198985E-5     0.9999999227392723       -3.255361354799095E-6    5.710601199407149E-10    -0.9925730768816676      0                        0                        0                        0
-0.949                    -0.5                     0.9922800005491597       2.5367627062758085E-5    0.9999999194278896       -3.3674040095823718E-6   5.989614598715622E-10    -0.9922802573394669      0                        0                        0                        0
-0.948                    -0.5                     0.9919818889033665       2.5830406164075803E-5    0.9999999160044644       -3.4794466394966535E-6   6.268983269381146E-10    -0.9919821535259803      0                        0                        0                        0
-0.947                    -0.5                     0.991678493095051        2.6291993795942914E-5    0.9999999124689962       -3.59148928895086E-6     6.548103250099983E-10    -0.991678765441366       0                        0                        0                        0
-0.946                    -0.5                     0.991369813124213        2.675238995835958E-5     0.9999999088214855       -3.703531911759714E-6    6.827365339365971E-10    -0.9913700930857774      0                        0                        0                        0
-0.945                    -0.5                     0.9910558489908535       2.7211594651325316E-5    0.9999999050619324       -3.815574549667601E-6    7.106645192200352E-10    -0.9910561364593813      0                        0                        0                        0
-0.944                    -0.5                     0.9907366006949716       2.7669607874840547E-5    0.9999999011903365       -3.927617200898164E-6    7.385898399682821E-10    -0.9907368955623416      0                        0                        0                        0
-0.943                    -0.5                     0.9904120682365677       2.8126429628905322E-5    0.9999998972066978       -4.039659837806851E-6    7.665018380401403E-10    -0.9904123703948244      0                        0                        0                        0
-0.942                    -0.5                     0.9900822516156417       2.8582059913519233E-5    0.9999998931110169       -4.151702471384868E-6    7.944138361124553E-10    -0.9900825609570038      0                        0                        0                        0
-0.941                    -0.5                     0.9897471508321936       2.9036498728682936E-5    0.9999998889032928       -4.263745107516398E-6    8.22324946005987E-10     -0.9897474672490548      0                        0                        0                        0
-0.94                     -0.5                     0.9894067658862233       2.9489746074395696E-5    0.9999998845835264       -4.375787756970605E-6    8.50247602218907E-10     -0.9894070892711592      0                        0                        0                        0
-0.9390000000000001       -0.5                     0.9890610967777311       2.9941801950658156E-5    0.9999998801517176       -4.487830390437567E-6    8.782022329069102E-10    -0.9890614270234965      0                        0                        0                        0
-0.938                    -0.5                     0.9887101435067166       3.0392666357470057E-5    0.9999998756078657       -4.5998730274573075E-6   9.061071254994622E-10    -0.9887104805062544      0                        0                        0                        0
-0.937                    -0.5                     0.98835390607318         3.084233929483127E-5     0.9999998709519716       -4.711915657371557E-6    9.340475453327502E-10    -0.9883542497196228      0                        0                        0                        0
-0.9359999999999999       -0.5                     0.9879923844771215       3.129082076274191E-5     0.9999998661840345       -4.823958251758733E-6    9.619275689295507E-10    -0.9879927346637918      0                        0                        0                        0
-0.935                    -0.5                     0.9876255795281524       3.1738110407579136E-5    0.99999986130627         -4.817954885456731E-6    9.363795355171311E-10    -0.9876259243461656      0                        0                        0                        0
-0.9339999999999999       -0.5                     0.9872536633711445       3.218422395758491E-5     0.9999998563937113       -5.007162197703616E-6    1.0019731020723537E-9    -0.9872540223115297      0                        0                        0                        0
-0.933                    -0.5                     0.9868767189843671       3.2629212758102344E-5    0.9999998512919455       -5.196369566793707E-6    1.067573774399161E-9     -0.9868770918648069      0                        0                        0                        0
-0.9319999999999999       -0.5                     0.9864947463678195       3.3073076809131605E-5    0.9999998460009721       -5.38557691456773E-6     1.13319220994746E-9      -0.986495133006279       0                        0                        0                        0
-0.931                    -0.5                     0.9861077455215022       3.35158161106723E-5      0.9999998405207916       -5.5747843156322435E-6   1.1987573551392629E-9    -0.986108145736251       0                        0                        0                        0
-0.9299999999999999       -0.5                     0.9857157164454148       3.395743066272513E-5     0.9999998348514036       -5.763991661629909E-6    1.2643828961158111E-9    -0.985716130055014       0                        0                        0                        0
-0.929                    -0.5                     0.9853186591395576       3.4397920465289665E-5    0.999999828992808        -5.953199018285503E-6    1.3299658048733327E-9    -0.9853190859628823      0                        0                        0                        0
-0.9279999999999999       -0.5                     0.9849165736039305       3.48372855183658E-5      0.9999998229450054       -6.142406400698483E-6    1.3955691413907262E-9    -0.9849170134601719      0                        0                        0                        0
-0.927                    -0.5                     0.984509459838534        3.5275525821953616E-5    0.9999998167079954       -6.331613745807757E-6    1.461144167565191E-9     -0.9845099125471961      0                        0                        0                        0
-0.926                    -0.5                     0.9840973178433671       3.571264137605313E-5     0.999999810281778        -6.520821107792527E-6    1.5267616040864698E-9    -0.9840977832242844      0                        0                        0                        0
-0.925                    -0.5                     0.9836801476184305       3.6148632180664385E-5    0.9999998036663532       -6.710028469777298E-6    1.5923649407753079E-9    -0.9836806254917668      0                        0                        0                        0
-0.924                    -0.5                     0.9832579491637242       3.658349823578768E-5     0.999999796861721        -6.899235817551214E-6    1.6579904819244157E-9    -0.9832584393499784      0                        0                        0                        0
-0.923                    -0.5                     0.9828307224792481       3.701723954142221E-5     0.9999997898678816       -7.088443202628622E-6    1.723573390512499E-9     -0.9828312247992665      0                        0                        0                        0
-0.922                    -0.5                     0.9823984675650017       3.744985609756818E-5     0.9999997826848347       -7.277650569942461E-6    1.7891669572416188E-9    -0.9823989818399733      0                        0                        0                        0
-0.921                    -0.5                     0.981961184420986        3.788134790422683E-5     0.9999997753125807       -7.466857928374519E-6    1.8547747348192113E-9    -0.9819617104724545      0                        0                        0                        0
-0.92                     -0.5                     0.9815188730472          3.8311714961396245E-5    0.999999767751119        -7.656065293912003E-6    1.9203683015492228E-9    -0.9815194106970694      0                        0                        0                        0
-0.919                    -0.5                     0.9810715334436442       3.8740957269078396E-5    0.9999997600004498       -7.845272641685917E-6    1.9859760791303827E-9    -0.9810720825141815      0                        0                        0                        0
-0.918                    -0.5                     0.9806192472804113       3.916910007511343E-5     0.9999997520668774       -8.039924011615415E-6    2.062969901518419E-9     -0.9806198081448204      0                        0                        0                        0
-0.917                    -0.5                     0.9801621569462807       3.95962058015153E-5      0.9999997439147684       -8.264294293255302E-6    2.1433460043715825E-9    -0.9801627323706571      0                        0                        0                        0
